id,type,subtype,name,bill_number,congress,title,long_title,congress_website_title,congress_website_abstract,date_filed,scope,subjects,authors_raw,senate_website_permalink,download_url_sources,authors
01K67YM2NY3SK7YT6VA89EWR20,bill,HB,HBN-03145,3145,16,REGIONAL TRIAL COURT AND MUNICIPAL TRIAL COURT (CALAPAN CITY AND MUNICIPALITY OF BACO),"AN ACT CREATING AN ADDITIONAL REGIONAL TRIAL COURT BRANCH TO BE STATIONED IN CALAPAN CITY, AND AN ADDITIONAL MUNICIPAL TRIAL COURT BRANCH TO BE STATIONED IN THE MUNICIPALITY OF BACO, ALL IN THE FIRST DISTRICT OF ORIENTAL MINDORO, FURTHER AMENDING FOR THE PURPOSE BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS JUDICIARY REORGANIZATION ACT OF 1980, AS AMENDED, AND APPROPRIATING FUNDS THEREFOR","AN ACT CREATING THREE (3) ADDITIONAL COURTS, NAMELY: ONE (1) MUNICIPAL TRIAL COURT WITH SEAT AT THE MUNICIPALITY OF BACO, ONE (1) FAMILY COURT AND ONE (1) REGIONAL TRIAL COURT WITH BOTH SEATS AT CALAPAN CITY, ALL IN THE 1ST DISTRICT OF ORIENTAL MINDORO, FURTHER AMENDING FOR THE PURPOSE BATAS PAMBANSA BILANG 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED, AND APPROPRIATING FUNDS THEREFOR",,2013-10-16,National,"['Judiciary Reorganization Act', 'Courts (Rtc/Mtc, Creation)']",,https://web.senate.gov.ph/lis/bill_res.aspx?congress=16&q=HBN-3145,"['https://web.senate.gov.ph/lisdata/1975016857!.pdf', 'https://docs.congress.hrep.online/legisdocs/basic_16/HB03145.pdf']","[{'aliases': None, 'name_suffix': None, 'last_name': 'Leachon', 'id': '01K5ST48QGRSNZMHPTMEY6TYXS', 'middle_name': 'C', 'first_name': 'Doy'}]"
01K6D890TSJ5PPPVMVR2V2XJH3,bill,HB,HBN-03146,3146,16,,,"AN ACT PROTECTING THE RIGHTS OF INTERNALLY DISPLACED PERSONS, PROVIDING PENALTIES FOR VIOLATIONS THEREOF, AND FOR OTHER PURPOSES",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03146.pdf'],"[{'aliases': ['Barry'], 'name_suffix': 'III', 'last_name': 'Gutierrez', 'id': '01K5ST47SBPEEM7VWY223XMB92', 'middle_name': 'M', 'first_name': 'Ibarra'}]"
01K6D890TSJ5PPPVMVR2V2XJH4,bill,HB,HBN-03147,3147,16,,,AN ACT TO STRENGTHEN THE PEOPLE'S RIGHT TO INFORMATION,,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03147.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Aglipay-Villar', 'id': '01K5ST405HKMJAG7RT5QRJ1B9B', 'middle_name': None, 'first_name': 'Emmeline'}]"
01K6D890TSJ5PPPVMVR2V2XJH5,bill,HB,HBN-03148,3148,16,,,"AN ACT ABOLISHING REGULAR MANDATORY CONTRIBUTIONS IMPOSED ON THE PHILIPPINE CHARITY SWEEPSTAKES OFFICE (PCSO), MODIFYING FOR THE PURPOSE SECTION 11(a) OF REPUBLIC ACT NO. 7835",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03148.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Co', 'id': '01K5ST43V8Z14W6XSKGZV1CFTE', 'middle_name': 'S', 'first_name': 'Christopher'}]"
01K6D890TSJ5PPPVMVR2V2XJH6,bill,HB,HBN-03149,3149,16,,,AN ACT CREATING AN ADDITIONAL LEGISLATIVE DISTRICT IN THE PROVINCE OF CEBU TO BE KNOWN AS THE SEVENTH LEGISLATIVE DISTRICT,,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03149.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Caminero', 'id': '01K5ST430KDJ23YMEEDWJH5Z41', 'middle_name': 'S', 'first_name': 'Wilfredo'}]"
01K6D890TSJ5PPPVMVR2V2XJH7,bill,HB,HBN-03150,3150,16,,,AN ACT DEPLOYING POLICE PERSONNEL TO ACT AS MARSHALS IN ALL PUBLIC UTILITY BUSES,,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03150.pdf'],"[{'aliases': None, 'name_suffix': 'Jr', 'last_name': 'Velarde', 'id': '01K5ST4G0HDZGMKQP315E23G1G', 'middle_name': 'M', 'first_name': 'Mariano Michael'}]"
01K6D890TSJ5PPPVMVR2V2XJH8,bill,HB,HBN-03151,3151,16,,,AN ACT REQUIRING MANDATORY INSTALLATION OF SPEED LIMITERS IN PUBLIC UTILITY VEHICLES,,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03151.pdf'],"[{'aliases': None, 'name_suffix': 'Jr', 'last_name': 'Velarde', 'id': '01K5ST4G0HDZGMKQP315E23G1G', 'middle_name': 'M', 'first_name': 'Mariano Michael'}]"
01K6D890TSJ5PPPVMVR2V2XJH9,bill,HB,HBN-03152,3152,16,,,"AN ACT AMENDING REPUBLIC ACT NO. 4136, OTHERWISE KNOWN AS THE LAND TRANSPORTATION AND TRAFFIC CODE",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03152.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Aglipay-Villar', 'id': '01K5ST405HKMJAG7RT5QRJ1B9B', 'middle_name': None, 'first_name': 'Emmeline'}]"
01K6D890TTS52HEPM1FSPCNWZF,bill,HB,HBN-03153,3153,16,,,"AN ACT REGULATING THE PRODUCTION, IMPORTATION, SALE, USE, AND RECYCLING OF PLASTIC BAGS IN ALL ESTABLISHMENTS IN THE COUNTRY",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03153.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Mendoza', 'id': '01K5ST4A0X6GB62G2QZNJYXR84', 'middle_name': 'Cañete', 'first_name': 'Raymond Democrito'}]"
01K6D890TMYDG5RK2FKWNSNECE,bill,HB,HBN-03107,3107,16,,,"AN ACT REVISING AND INCREASING THE PENALTIES FOR SMUGGLING, DEFINING SMUGGLING CONSTITUTING ECONOMIC SABOTAGE AND IMPOSING THEREON THE PENALTY OF RECLUSION PERPETUA, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 7659, KNOWN AS THE DEATH PENALTY LAW, ALSO AMENDING PRESIDENTIAL DECREE NO. 1464, OTHERWISE KNOWN AS THE REVISED TARIFF AND CUSTOMS CODE, AS AMENDED, AND FOR OTHER PURPOSES",,2013-10-07,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03107.pdf'],"[{'aliases': ['Art'], 'name_suffix': None, 'last_name': 'Yap', 'id': '01K5ST4GW5M7Y8VT5EY69RCBGT', 'middle_name': 'Cua', 'first_name': 'Arthur'}]"
